nama_kabupaten_kota,indeks_pendidikan,Tahun
JAWA BARAT,63.22,2020
Bogor,62.33,2020
Sukabumi,57.54,2020
Cianjur,57.24,2020
Bandung,65.12,2020
Garut,58.15,2020
Tasikmalaya,59.31,2020
Ciamis,64.72,2020
Kuningan,59.18,2020
Cirebon,57.09,2020
Majalengka,58.18,2020
Sumedang,64.39,2020
Indramayu,55.03,2020
Subang,56.17,2020
Purwakarta,60.61,2020
Karawang,59.48,2020
Bekasi,66.76,2020
Bandung Barat,60.27,2020
Pangandaran,59.33,2020
Kota Bogor,71.68,2020
Kota Sukabumi,69.38,2020
Kota Bandung,75.28,2020
Kota Cirebon,69.48,2020
Kota Bekasi,76.09,2020
Kota Depok,76.27,2020
Kota Cimahi,74.87,2020
Kota Tasikmalaya,68.46,2020
Kota Banjar,65.52,2020
JAWA BARAT,63.73,2021
Bogor,62.39,2021
Sukabumi,57.67,2021
Cianjur,57.3,2021
Bandung,65.51,2021
Garut,58.52,2021
Tasikmalaya,59.77,2021
Ciamis,65.78,2021
Kuningan,59.97,2021
Cirebon,57.75,2021
Majalengka,58.34,2021
Sumedang,64.46,2021
Indramayu,55.79,2021
Subang,56.23,2021
Purwakarta,60.67,2021
Karawang,59.54,2021
Bekasi,67.39,2021
Bandung Barat,60.33,2021
Pangandaran,59.72,2021
Kota Bogor,72.38,2021
Kota Sukabumi,70.42,2021
Kota Bandung,76.11,2021
Kota Cirebon,70.21,2021
Kota Bekasi,76.87,2021
Kota Depok,76.89,2021
Kota Cimahi,75.29,2021
Kota Tasikmalaya,69.12,2021
Kota Banjar,66.01,2021
